"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.684734255506823,0.337420902970454,0.212557547108372,0.185731801630236,500
"standard deviation",0.413519882938312,0.16440829900574,0.0992587011898367,0.111625985266477,500
"root MSE",0.799912304099517,0.375343781809899,0.234591134944655,0.216694860860901,500
"coverage probability",0.051,0.165,0.417,0.666,500
"bias",0.189328518255671,0.104604074585777,0.0714921554717186,0.0612946395167841,1000
"standard deviation",0.0531400879434891,0.0405963811861549,0.0511214631156807,0.0652850947265226,1000
"root MSE",0.196644747632703,0.112205519406839,0.0878893183787443,0.089549854421677,1000
"coverage probability",0,0.209,0.746,0.758,1000
"bias",0.0757012765915092,0.0547411819379516,0.0418919189712399,0.0327542712740135,2000
"standard deviation",0.0432971568278207,0.0286034327019384,0.0314023035176348,0.0402640536416025,2000
"root MSE",0.0872085263432256,0.061763689675231,0.0523549189790853,0.0519041067965292,2000
"coverage probability",0.089,0.406,0.735,0.748,2000
"bias",0.0382416168720781,0.0290929348537257,0.0233086768660687,0.0200103198282995,3000
"standard deviation",0.031904481713241,0.0208872580046381,0.0235855949945589,0.0287745961972095,3000
"root MSE",0.049802783199148,0.0358144720100052,0.0331598357730277,0.0350483991923069,3000
"coverage probability",0.171,0.699,0.849,0.85,3000
"bias",0.0167491701038421,0.0175324168698391,0.0143900835640892,0.012257366531586,4000
"standard deviation",0.0257627091845209,0.017850581096948,0.0195810953553431,0.0228913129272663,4000
"root MSE",0.0307286817760482,0.02502056927403,0.0243000781952756,0.0259664252800356,4000
"coverage probability",0.3,0.809,0.891,0.892,4000
"bias",0.00714417877239366,0.0113233632140551,0.0100944689908039,0.00901165205854686,5000
"standard deviation",0.0205829360617021,0.0151773849690281,0.0168455807262515,0.0215645119286954,5000
"root MSE",0.021787531921997,0.0189359860840543,0.0196385308567356,0.0233717360832942,5000
"coverage probability",0.39,0.882,0.921,0.923,5000
"bias",0.0025442254666252,0.00894970644356603,0.00849194379214568,0.0090089217192183,6000
"standard deviation",0.0179552086460236,0.0137303183350598,0.015112005469607,0.0194877796126563,6000
"root MSE",0.0181345692186847,0.016389596914143,0.0173345267798805,0.0214693787701104,6000
"coverage probability",0.38,0.863,0.9,0.912,6000
"bias",0.000484685996257563,0.00692883892326105,0.00674720266494326,0.00801791241436166,7000
"standard deviation",0.0157008888757964,0.0114211746906575,0.0124443045487073,0.0153845034856046,7000
"root MSE",0.0157083682158611,0.013358594242622,0.0141557571151385,0.0173484831320481,7000
"coverage probability",0.387,0.909,0.919,0.906,7000
"bias",0.00095610038215757,0.00460578730095366,0.00484817158274358,0.00764827747496013,8000
"standard deviation",0.0141066749005988,0.0110193193868836,0.0120706612637053,0.0150719537114671,8000
"root MSE",0.0141390383227413,0.0119431434895414,0.013007906481784,0.0169014773618933,8000
"coverage probability",0.405,0.936,0.937,0.933,8000
"bias",0.00105503138777376,0.00397253020076556,0.00417564562655482,0.00751730903045813,9000
"standard deviation",0.0128037941075565,0.0098749196496406,0.0106986652719806,0.0136666365468124,9000
"root MSE",0.0128471878159341,0.0106440140117745,0.0114846617277327,0.0155976565407139,9000
"coverage probability",0.419,0.947,0.952,0.936,9000
"bias",0.000967337942795023,0.00321710120432597,0.0037098631594271,0.00787621459200709,10000
"standard deviation",0.011564040322615,0.00890153730580657,0.00943274311674852,0.0120708296403804,10000
"root MSE",0.0116044289509926,0.00946504656964463,0.0101360607421345,0.0144131774604502,10000
"coverage probability",0.426,0.949,0.953,0.932,10000
"bias",0.000686098714720362,0.0014902261140969,0.0019552374602591,0.00694144557610962,12000
"standard deviation",0.010771446534247,0.00887756012438737,0.00933934012315353,0.0115958458224993,12000
"root MSE",0.0107932753085652,0.00900176913907755,0.00954181468390294,0.0135147070639828,12000
"coverage probability",0.419,0.932,0.936,0.927,12000
"bias",0.0012365995749306,0.000863863636850259,0.00138311585506454,0.00763967153394615,14000
"standard deviation",0.0108900949844107,0.00797867463708632,0.00862537895908618,0.0110832490112869,14000
"root MSE",0.0109600797113071,0.00802530431495009,0.00873556933784957,0.013461165989348,14000
"coverage probability",0.362,0.956,0.954,0.914,14000
"bias",0.00271566583547359,0.000492957377518833,1.51217782054532e-05,0.00680674011417585,16000
"standard deviation",0.00927746288330745,0.00693948848411141,0.00724738099489111,0.00903519081946979,16000
"root MSE",0.00966675532332881,0.00695697544894081,0.0072473967707919,0.01131222277566,16000
"coverage probability",0.396,0.95,0.948,0.939,16000
"bias",0.00249952974664302,0.000330485137602857,9.45171798924349e-05,0.00738964056121709,18000
"standard deviation",0.00928328243248148,0.00645758622820675,0.00671666271736767,0.00881717589694174,18000
"root MSE",0.00961389523947357,0.00646603745124491,0.00671732770945201,0.0115043199895342,18000
"coverage probability",0.351,0.957,0.959,0.924,18000
"bias",0.00280148161010201,0.000956954395087735,0.000657322268607553,0.00665805615632171,20000
"standard deviation",0.0085207670295561,0.00521979069400597,0.00533288154996431,0.00668155551386264,20000
"root MSE",0.00896949106603658,0.0053067859014199,0.00537323907813128,0.00943254450641828,20000
"coverage probability",0.28,0.976,0.976,0.95,20000
