"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.398133982995977,0.56403014179774,0.407466635591326,0.411263402130743,500
"standard deviation",0.0700935483664178,0.0602947193273313,0.0643746286298848,0.0748535547966907,500
"root MSE",0.404255848835526,0.567243093342268,0.412519482100892,0.418018564165422,500
"coverage probability",0.0284,0,0.0056,0.0462,500
"bias",0.293733986628989,0.283264742063612,0.294666889767516,0.289087748904213,1000
"standard deviation",0.054643748444032,0.0657583176464823,0.0545249814650909,0.0574496680498923,1000
"root MSE",0.298772483601025,0.29079581428348,0.29966807459973,0.294739767986399,1000
"coverage probability",2e-04,0,0,0.0056,1000
"bias",0.204041366150848,0.199599456852431,0.204089654563073,0.201822034189208,2000
"standard deviation",0.0391567070088555,0.0358063424425488,0.0391172297959113,0.0423976935429878,2000
"root MSE",0.207763856709826,0.202785060879905,0.207803846776346,0.206226425050601,2000
"coverage probability",0,0,0,0.001,2000
"bias",0.132378382912874,0.132428085566014,0.132351133660859,0.129528915634789,3000
"standard deviation",0.0312844552215323,0.0300952994531624,0.0311821749850392,0.0361291707433982,3000
"root MSE",0.136024106899137,0.135804063821541,0.13597410103584,0.134472286738697,3000
"coverage probability",0.0038,0.0012,0.0038,0.0428,3000
"bias",0.0812860995143123,0.0829414178314348,0.0814010310509337,0.0762889001933921,4000
"standard deviation",0.030809086839532,0.0298140550326148,0.0306936168905377,0.0356046049702316,4000
"root MSE",0.0869277859269987,0.088136138409854,0.0869944685273415,0.0841868793234704,4000
"coverage probability",0.108,0.0756,0.1048,0.2308,4000
"bias",0.0607438603364731,0.0616789395271034,0.0607805047988603,0.0555536471898892,5000
"standard deviation",0.0260876484258558,0.0255827966584126,0.0260691491352692,0.0310079029298705,5000
"root MSE",0.0661078350567308,0.0667730497293391,0.0661342148976901,0.0636200083479885,5000
"coverage probability",0.2156,0.1874,0.2146,0.3532,5000
