"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.287548804403298,0.37770935664075,0.294565932131649,0.291136179789969,500
"standard deviation",0.0621024500863671,0.118031479471552,0.0627155417922347,0.0705538818568065,500
"root MSE",0.29417725588093,0.395718336641333,0.301166965165578,0.299561562717436,500
"coverage probability",0.0294,0.0012,0.0126,0.0692,500
"bias",0.20109732158818,0.187853559924148,0.200682100007761,0.198855542839894,1000
"standard deviation",0.0401480438233532,0.0376724584109219,0.0401007292464149,0.0404977476567074,1000
"root MSE",0.205065052604526,0.19159303290066,0.204648606484193,0.20293660702274,1000
"coverage probability",0.002,0,0.002,0.0082,1000
"bias",0.117668749965299,0.117381264067668,0.11763730375378,0.11591079402152,2000
"standard deviation",0.034532603154366,0.0340250446615219,0.0344084547201123,0.0363721864076517,2000
"root MSE",0.122630326179444,0.122212246839707,0.122565248754832,0.121482441231577,2000
"coverage probability",0.0436,0.0388,0.0436,0.0648,2000
"bias",0.0568923100848541,0.0569485129720334,0.0569431919432527,0.0545203779251001,3000
"standard deviation",0.0274985763673672,0.0274730758562745,0.0274449743183232,0.0287605724249545,3000
"root MSE",0.0631882537714303,0.0632277792805589,0.0632107829305766,0.0616398953698135,3000
"coverage probability",0.3512,0.347,0.351,0.3966,3000
"bias",0.0357605141844312,0.0357657607331809,0.0357572433601765,0.0341896667081905,4000
"standard deviation",0.0220825262884697,0.0220807851744992,0.0220703079084328,0.0233408826632629,4000
"root MSE",0.0420280241555846,0.0420315738764413,0.0420188234508497,0.0413959074517839,4000
"coverage probability",0.5658,0.565,0.5658,0.5972,4000
"bias",0.0247721203686206,0.0247725501777994,0.0247230074316888,0.0239185165971455,5000
"standard deviation",0.018490552519439,0.0184905265497698,0.0184626354475846,0.0195382927181372,5000
"root MSE",0.0309110028941972,0.03091133181351,0.0308549482313002,0.0308830693029542,5000
"coverage probability",0.695,0.695,0.6952,0.7146,5000
