"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0291963568154606,0.0275676485597477,0.028659697828834,0.0192493515372329,1000
"standard deviation",0.0403648860323043,0.0363046746193243,0.0398638423466763,0.0402309531225687,1000
"root MSE",0.0498139078058701,0.0455822447938771,0.0490936490912563,0.0445953295518315,1000
"coverage probability",0.9256,0.8886,0.9098,0.9216,1000
"bias",0.0129397657191072,0.00975474102189974,0.0122435647409953,0.00378077072867989,2000
"standard deviation",0.0229583696013802,0.0213122275124974,0.0227623097531007,0.0225067497665755,2000
"root MSE",0.0263518282908798,0.0234366203139547,0.0258442256280583,0.022819875144292,2000
"coverage probability",0.995,0.995,0.9948,0.976,2000
"bias",0.00931513824558367,0.00680549613360008,0.00877572132223697,0.00160290112590054,3000
"standard deviation",0.0200691692950214,0.0190658163891701,0.0197690010286511,0.0196960692343593,3000
"root MSE",0.0221238062370679,0.0202422190270502,0.0216274946241131,0.019759221853996,3000
"coverage probability",0.9622,0.9664,0.9622,0.9648,3000
"bias",0.00591640414850588,0.00410031130810246,0.00538852589000888,0.000504288469649359,4000
"standard deviation",0.0179847633618359,0.0171615123916413,0.017665080510698,0.0177504818608036,4000
"root MSE",0.0189312139306241,0.0176428783618291,0.0184669669871056,0.0177558693740994,4000
"coverage probability",0.9544,0.9356,0.9544,0.9264,4000
"bias",0.00664550973602233,0.00532652796456183,0.00634553394643019,0.00232840688786875,5000
"standard deviation",0.0158253329170267,0.0153455251987107,0.0157544404835107,0.0157631360945622,5000
"root MSE",0.0171625718746903,0.016242227271923,0.0169828900819263,0.0159326156948336,5000
"coverage probability",0.9528,0.9484,0.9528,0.9596,5000
