"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.343896964589071,0.42523819217863,0.343902336267485,0.294866379249973,1000
"standard deviation",0.125322277048699,0.158730372254205,0.125323900123198,0.118560256032747,1000
"root MSE",0.366015920751574,0.453891850661689,0.366021523433165,0.317804821573993,1000
"coverage probability",0.0028,0,0.0028,0.2608,1000
"bias",0.150384905795894,0.179774160711212,0.150384905795894,0.100846073829671,2000
"standard deviation",0.035361034677329,0.0359662452007537,0.035361034677329,0.0689788290968606,2000
"root MSE",0.154485509301476,0.183335923755009,0.154485509301476,0.122176339176866,2000
"coverage probability",0.029,0,0.029,0.5128,2000
"bias",0.11306687784349,0.130676018239232,0.11306687784349,0.0724860253997147,3000
"standard deviation",0.0342465285908983,0.0315858565209298,0.0342465285908983,0.0639878768526695,3000
"root MSE",0.118138516246217,0.134438419143318,0.118138516246217,0.0966842974462951,3000
"coverage probability",0.0828,0,0.0828,0.5268,3000
"bias",0.0758708971551517,0.0887153438678008,0.0758708971551517,0.0368457165845181,4000
"standard deviation",0.0292573187914028,0.0276557751570842,0.0292573187914028,0.0577365070145774,4000
"root MSE",0.0813155122953105,0.0929252450561279,0.0813155122953105,0.0684868189655683,4000
"coverage probability",0.168,0.0138,0.168,0.6366,4000
"bias",0.0558005671360813,0.065699024314935,0.0558005671360813,0.021357083402475,5000
"standard deviation",0.02438655962596,0.0232712746094364,0.02438655962596,0.0459753692639188,5000
"root MSE",0.0608957194081878,0.0696979605687127,0.0608957194081878,0.0506896127771576,5000
"coverage probability",0.2646,0.046,0.2646,0.7628,5000
